        PRECOS DE INSUMOS - BANCO NACIONAL,,,,
,,,,
MES DE COLETA: 12/2024,,,,
LOCALIDADE: 4160 - CUIABA,,,,
"ENCARGOS SOCIAIS DESONERADOS (%) HORISTA  79,65  MENSALISTA  43,45",,,,
,,,,
CODIGO  ,DESCRICAO DO INSUMO,UNIDADE DE MEDIDA,ORIGEM DO PRECO,PRECO MEDIANO R$
11270,"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM                                                                                                                                                                                                                                                                                                                                                                                                                            ",UN    ,CR,"2,66"
412,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"1,64"
414,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"0,10"
410,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"0,25"
411,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,C ,"0,32"
408,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"1,58"
39131,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"4,18"
394,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"4,23"
39130,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"3,82"
395,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"4,08"
39127,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"2,01"
392,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"2,06"
39129,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"2,35"
393,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,C ,"2,46"
