        PRECOS DE INSUMOS - BANCO NACIONAL,,,,
,,,,
MES DE COLETA: 12/2024,,,,
LOCALIDADE: 0400 - BELEM,,,,
"ENCARGOS SOCIAIS DESONERADOS (%) HORISTA  83,87  MENSALISTA  44,39",,,,
,,,,
CODIGO  ,DESCRICAO DO INSUMO,UNIDADE DE MEDIDA,ORIGEM DO PRECO,PRECO MEDIANO R$
11270,"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM                                                                                                                                                                                                                                                                                                                                                                                                                            ",UN    ,CR,"2,88"
412,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"1,38"
414,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"0,08"
410,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"0,21"
411,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,C ,"0,27"
408,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"1,34"
39131,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"4,51"
394,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"4,56"
39130,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"4,11"
395,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"4,39"
39127,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"2,17"
392,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"2,22"
39129,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"2,53"
393,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,C ,"2,65"
39133,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"5,92"
397,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"6,54"
39132,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"4,73"
396,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"5,07"
39135,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"9,47"
39128,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"2,36"
