        PRECOS DE INSUMOS - BANCO NACIONAL,,,,
,,,,
MES DE COLETA: 12/2024,,,,
LOCALIDADE: 4812 - PALMAS,,,,
"ENCARGOS SOCIAIS DESONERADOS (%) HORISTA  83,71  MENSALISTA  45,36",,,,
,,,,
CODIGO  ,DESCRICAO DO INSUMO,UNIDADE DE MEDIDA,ORIGEM DO PRECO,PRECO MEDIANO R$
11270,"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM                                                                                                                                                                                                                                                                                                                                                                                                                            ",UN    ,AS,"2,82"
412,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"0,97"
414,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM                                                                                                                                                                                                                                                                                                                                                                                                                                 ",UN    ,CR,"0,06"
410,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"0,15"
411,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,C ,"0,19"
408,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"0,94"
39131,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"4,47"
394,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"4,53"
39130,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"4,08"
395,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"4,36"
39127,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"2,15"
392,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"2,21"
39129,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"2,51"
393,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,C ,"2,63"
39133,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"5,87"
397,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"6,49"
39132,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"4,70"
396,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"5,03"
39135,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                   ",UN    ,CR,"9,40"
39128,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"2,35"
400,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"2,29"
39125,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"2,35"
39134,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"7,83"
398,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"7,21"
39126,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                       ",UN    ,CR,"10,57"
399,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"9,31"
39158,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""                                                                                                                                                                                                                                                                                                                                                                                                                           ",UN    ,CR,"25,01"
